City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,westport,41.1415,-73.3579,62.31,83,100,14.97,US,1712790327
83,brookings,44.3114,-96.7984,63.1,41,40,18.41,US,1712790358
84,turpan,42.9333,89.1667,58.53,34,4,2.84,CN,1712790492
85,malanje,-9.5402,16.341,65.98,97,41,2.82,AO,1712790492
86,nabire,-3.3667,135.4833,75.6,96,100,3.36,ID,1712790493
87,hermanus,-34.4187,19.2345,58.8,70,22,20.04,ZA,1712790493
88,kamikawa,43.84,142.7711,43.47,58,11,6.8,JP,1712790493
89,ponta delgada,37.7333,-25.6667,65.19,88,75,10.36,PT,1712790493
90,yuzhno-kurilsk,44.0306,145.8556,40.37,76,23,6.44,RU,1712790493
91,ocos,14.5094,-92.1933,91.58,67,95,6.82,GT,1712790493
92,avarua,-21.2078,-159.775,82.45,83,75,21.85,CK,1712790322
93,yaren,-0.5472,166.916,82.13,83,93,10.92,NR,1712790493
94,codrington,-38.2667,141.9667,57.9,69,89,10.78,AU,1712790493
95,sanniquellie,7.3622,-8.7061,70.05,97,95,3.11,LR,1712790493
96,pandan,14.0453,124.1694,78.73,82,90,7.09,PH,1712790493
97,taoudenni,22.6783,-3.9836,90.21,11,0,11.07,ML,1712790493
98,longyearbyen,78.2186,15.6401,4.84,72,0,11.5,SJ,1712790493
99,nova vicosa,-17.8919,-39.3719,78.62,83,7,6.2,BR,1712790388
100,urangan,-25.3,152.9,71.2,66,0,10.0,AU,1712790494
101,ceres,37.5949,-120.9577,81.77,43,0,8.05,US,1712790494
102,torghay,49.6339,63.4981,44.78,68,98,13.22,KZ,1712790494
103,atafu village,-8.5421,-172.5159,86.02,75,79,10.31,TK,1712790494
104,huejutla de reyes,21.1333,-98.4167,88.7,20,11,22.79,MX,1712790494
105,siwa oasis,29.2041,25.5195,66.42,47,0,10.58,EG,1712790494
106,weno,7.4515,151.8468,82.35,94,100,6.91,FM,1712790494
107,sweet home,44.3976,-122.7362,67.28,60,62,8.01,US,1712790270
108,pacasmayo,-7.4006,-79.5714,74.16,76,66,13.2,PE,1712790494
109,isafjordur,66.0755,-23.124,24.26,88,39,5.06,IS,1712790494
110,chonchi,-42.6128,-73.8092,51.01,78,0,1.57,CL,1712790494
111,adrar,20.5022,-10.0711,85.32,14,0,8.77,MR,1712790494
112,berrechid,33.2655,-7.5875,62.29,67,0,9.22,MA,1712790495
113,ambodifotatra,-16.9833,49.85,80.1,87,78,9.71,MG,1712790438
114,siracusa,37.0881,15.2792,56.32,80,100,11.88,IT,1712790495
115,santa rosalia,27.3167,-112.2833,77.38,21,0,11.72,MX,1712790495
116,susuman,62.7833,148.1667,3.97,93,88,1.99,RU,1712790495
